AtomicNumber,Symbol,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,Mendeleev,BulkModulus,MolarVolume,VanDerWaalsRadius,AverageCationicRadius,AverageIonicRadius,AverageAnionicRadius,VelocitySound,PoissonsRatio,ThermalConductivity,ElectricalResistivity,RigidityModulus
67,Ho,Holmium,164.93033,00FF9C,[Xe]6s2 4f11,1.23,216.0,6.022,,+3,Solid,1747.0,2973.0,8.8,Lanthanide,1878,23.0,40.0 GPa,18.74,2.3,1.041,1.041,0.0,2760.0,0.23,16.0,8.14e-07,26.0
68,Er,Erbium,167.26,,[Xe]6s2 4f12,1.24,235.0,6.108,,+3,Solid,1802.0,3141.0,9.07,Lanthanide,1843,22.0,44.0 GPa,18.46,2.29,1.03,1.03,0.0,2830.0,0.24,15.0,8.6e-07,28.0
69,Tm,Thulium,168.93422,00D452,[Xe]6s2 4f13,1.25,227.0,6.184,,+3,Solid,1818.0,2223.0,9.32,Lanthanide,1879,21.0,45.0 GPa,19.1,2.27,1.095,1.095,0.0,,0.21,17.0,6.76e-07,31.0
70,Yb,Ytterbium,173.05,00BF38,[Xe]6s2 4f14,,242.0,6.254,,"+3, +2",Solid,1092.0,1469.0,6.9,Lanthanide,1878,17.0,31.0 GPa,24.84,2.26,1.084,1.084,0.0,1590.0,0.21,39.0,2.5e-07,9.9
71,Lu,Lutetium,174.9668,00AB24,[Xe]6s2 4f14 5d1,1.27,221.0,5.426,,+3,Solid,1936.0,3675.0,9.84,Lanthanide,1907,20.0,48.0 GPa,17.78,2.24,1.001,1.001,0.0,,0.26,16.0,5.8e-07,27.0
72,Hf,Hafnium,178.49,4DC2FF,[Xe]6s2 4f14 5d2,1.3,212.0,6.825,,+4,Solid,2506.0,4876.0,13.3,Transition metal,1923,50.0,110.0 GPa,13.44,2.23,0.85,0.85,0.0,3010.0,0.37,23.0,3.4e-07,30.0
73,Ta,Tantalum,180.9479,4DA6FF,[Xe]6s2 4f14 5d3,1.5,217.0,7.89,0.322,+5,Solid,3290.0,5731.0,16.4,Transition metal,1802,52.0,200.0 GPa,10.85,2.22,0.82,0.82,0.0,3400.0,0.34,57.0,1.35e-07,69.0
74,W,Tungsten,183.84,2194D6,[Xe]6s2 4f14 5d4,2.36,210.0,7.98,0.815,+6,Solid,3695.0,5828.0,19.3,Transition metal,1783,55.0,310.0 GPa,9.47,2.18,0.7666666666666666,0.7666666666666666,0.0,5174.0,0.28,170.0,5.4e-08,161.0
75,Re,Rhenium,186.207,267DAB,[Xe]6s2 4f14 5d5,1.9,217.0,7.88,0.15,"+7, +6, +4",Solid,3459.0,5869.0,20.8,Transition metal,1925,58.0,370.0 GPa,8.86,2.16,0.7124999999999999,0.7124999999999999,0.0,4700.0,0.3,48.0,1.8e-07,178.0
76,Os,Osmium,190.2,266696,[Xe]6s2 4f14 5d6,2.2,216.0,8.7,1.1,"+4, +3",Solid,3306.0,5285.0,22.57,Transition metal,1803,63.0,None,8.42,2.16,0.673,0.673,0.0,4940.0,0.25,88.0,8.1e-08,222.0
77,Ir,Iridium,192.22,175487,[Xe]6s2 4f14 5d7,2.2,202.0,9.1,1.565,"+4, +3",Solid,2719.0,4701.0,22.42,Transition metal,1803,66.0,320.0 GPa,8.52,2.13,0.765,0.765,0.0,4825.0,0.26,150.0,4.7e-08,210.0
78,Pt,Platinum,195.08,D0D0E0,[Xe]6s1 4f14 5d9,2.28,209.0,9.0,2.128,"+4, +2",Solid,2041.55,4098.0,21.46,Transition metal,1735,68.0,230.0 GPa,9.09,2.13,0.805,0.805,0.0,2680.0,0.38,72.0,1.06e-07,61.0
79,Au,Gold,196.96657,FFD123,[Xe]6s1 4f14 5d10,2.54,166.0,9.226,2.309,"+3, +1",Solid,1337.33,3129.0,19.282,Transition metal,Ancient,70.0,220.0 GPa,10.21,2.14,1.07,1.07,0.0,1740.0,0.44,320.0,2.2e-08,27.0
80,Hg,Mercury,200.59,B8B8D0,[Xe]6s2 4f14 5d10,2.0,209.0,10.438,,"+2, +1",Liquid,234.32,629.88,13.5336,Transition metal,Ancient,74.0,25.0 GPa,14.09,2.23,1.245,1.245,0.0,1407.0,,8.3,9.6e-07,
81,Tl,Thallium,204.383,A6544D,[Xe]6s2 4f14 5d10 6p1,1.62,196.0,6.108,0.2,"+3, +1",Solid,577.0,1746.0,11.8,Post-transition metal,1861,78.0,43.0 GPa,17.22,1.96,1.3325,1.3325,0.0,818.0,0.45,46.0,1.5e-07,2.8
82,Pb,Lead,207.0,575961,[Xe]6s2 4f14 5d10 6p2,2.33,202.0,7.417,0.36,"+4, +2",Solid,600.61,2022.0,11.342,Post-transition metal,Ancient,82.0,46.0 GPa,18.26,2.02,1.1225,1.1225,0.0,1260.0,0.44,35.0,2.1e-07,5.6
83,Bi,Bismuth,208.9804,9E4FB5,[Xe]6s2 4f14 5d10 6p3,2.02,207.0,7.289,0.946,"+5, +3",Solid,544.55,1837.0,9.807,Post-transition metal,1753,87.0,31.0 GPa,21.31,2.07,1.035,1.035,0.0,1790.0,0.33,8.0,1.3e-06,12.0
84,Po,Polonium,208.98243,AB5C00,[Xe]6s2 4f14 5d10 6p4,2.0,197.0,8.417,1.9,"+4, +2",Solid,527.0,1235.0,9.32,Metalloid,1898,91.0,None,22.97,1.97,0.945,0.945,0.0,,,20.0,4e-07,
85,At,Astatine,209.98715,754F45,[Xe]6s2 4f14 5d10 6p5,2.2,202.0,9.5,2.8,"7, 5, 3, 1, -1",Solid,575.0,,7.0,Halogen,1940,96.0,None,,2.02,0.76,0.76,0.0,,,2.0,,
86,Rn,Radon,222.01758,428296,[Xe]6s2 4f14 5d10 6p6,,220.0,10.745,,0,Gas,202.0,211.45,0.00973,Noble gas,1900,6.0,None,50.5,2.2,0.0,0.0,0.0,,,0.00361,,
87,Fr,Francium,223.01973,420066,[Rn]7s1,0.7,348.0,3.9,0.47,+1,Solid,300.0,,,Alkali metal,1939,7.0,None,,3.48,1.94,1.94,0.0,,,,,
88,Ra,Radium,226.02541,007D00,[Rn]7s2,0.9,283.0,5.279,,+2,Solid,973.0,1413.0,5.0,Alkaline earth metal,1898,13.0,None,41.09,2.83,1.62,1.62,0.0,,,19.0,1e-06,
89,Ac,Actinium,227.02775,70ABFA,[Rn]7s2 6d1,1.1,260.0,5.17,,+3,Solid,1324.0,3471.0,10.07,Actinide,1899,48.0,None,22.55,2.47,1.26,1.26,0.0,,,12.0,,
90,Th,Thorium,232.038,00BAFF,[Rn]7s2 6d2,1.3,237.0,6.08,,+4,Solid,2023.0,5061.0,11.72,Actinide,1828,47.0,54.0 GPa,19.8,2.45,1.08,1.08,0.0,2490.0,0.27,54.0,1.5e-07,31.0
91,Pa,Protactinium,231.03588,00A1FF,[Rn]7s2 5f2 6d1,1.5,243.0,5.89,,"+5, +4",Solid,1845.0,,15.37,Actinide,1913,46.0,None,15.18,2.1,1.04,1.04,0.0,,,47.0,1.8e-07,
92,U,Uranium,238.0289,008FFF,[Rn]7s2 5f3 6d1,1.38,240.0,6.194,,"+6, +5, +4, +3",Solid,1408.0,4404.0,18.95,Actinide,1789,45.0,100.0 GPa,12.49,2.41,0.99125,0.99125,0.0,3155.0,0.23,27.0,2.8e-07,111.0
93,Np,Neptunium,237.048172,0080FF,[Rn]7s2 5f4 6d1,1.36,221.0,6.266,,"+6, +5, +4, +3",Solid,917.0,4175.0,20.25,Actinide,1940,44.0,None,11.59,2.39,1.0,1.0,0.0,,,6.0,1.2e-06,
94,Pu,Plutonium,244.0642,006BFF,[Rn]7s2 5f6,1.28,243.0,6.06,,"+6, +5, +4, +3",Solid,913.0,3501.0,19.84,Actinide,1940,43.0,None,12.29,2.43,0.9675,0.9675,0.0,2260.0,0.21,6.0,1.5e-06,43.0
95,Am,Americium,243.06138,545CF2,[Rn]7s2 5f7,1.3,244.0,5.993,,"+6, +5, +4, +3",Solid,1449.0,2284.0,13.69,Actinide,1944,42.0,None,17.63,2.44,1.1683333333333332,1.1683333333333332,0.0,,,10.0,,
96,Cm,Curium,247.07035,785CE3,[Rn]7s2 5f7 6d1,1.3,245.0,6.02,,+3,Solid,1618.0,3400.0,13.51,Actinide,1944,41.0,None,18.05,2.45,1.05,1.05,0.0,,,8.8,,
97,Bk,Berkelium,247.07031,8A4FE3,[Rn]7s2 5f9,1.3,244.0,6.23,,"+4, +3",Solid,1323.0,,14.0,Actinide,1949,40.0,None,16.84,2.44,1.035,1.035,0.0,,,10.0,,
98,Cf,Californium,251.07959,A136D4,[Rn]7s2 5f10,1.3,245.0,6.3,,+3,Solid,1173.0,,,Actinide,1950,39.0,None,16.5,2.45,1.0255,1.0255,0.0,,,,,
99,Es,Einsteinium,252.083,B31FD4,[Rn]7s2 5f11,1.3,245.0,6.42,,+3,Solid,1133.0,,,Actinide,1952,38.0,None,28.52,2.45,0.0,0.0,0.0,,,,,
100,Fm,Fermium,257.09511,B31FBA,[Rn] 5f12 7s2,1.3,,6.5,,+3,Solid,1800.0,,,Actinide,1952,37.0,None,,2.45,0.0,0.0,0.0,,,,,
101,Md,Mendelevium,258.09843,B30DA6,[Rn]7s2 5f13,1.3,,6.58,,"+3, +2",Solid,1100.0,,,Actinide,1955,36.0,None,,2.46,0.0,0.0,0.0,,,,,
102,No,Nobelium,259.101,BD0D87,[Rn]7s2 5f14,1.3,,6.65,,"+3, +2",Solid,1100.0,,,Actinide,1957,35.0,None,,2.46,0.0,0.0,0.0,,,,,
103,Lr,Lawrencium,266.12,C70066,[Rn]7s2 5f14 6d1,1.3,,,,+3,Solid,1900.0,,,Actinide,1961,34.0,None,,,0.0,0.0,0.0,,,,,
104,Rf,Rutherfordium,267.122,CC0059,[Rn]7s2 5f14 6d2,,,,,+4,Solid,,,,Transition metal,1964,,,,,0.0,0.0,0.0,,,,,
105,Db,Dubnium,268.126,D1004F,[Rn]7s2 5f14 6d3,,,,,"5, 4, 3",Solid,,,,Transition metal,1967,,,,,0.0,0.0,0.0,,,,,
106,Sg,Seaborgium,269.128,D90045,[Rn]7s2 5f14 6d4,,,,,"6, 5, 4, 3, 0",Solid,,,,Transition metal,1974,,,,,0.0,0.0,0.0,,,,,
